Region,Vehicle Type,Fuel,Combined Load Factor (%),Empty Running (%),Fuel Intensity (kg/t-km),Fuel Intensity (l/t-km),Energy Intensity (kWh/t-km),WTT (g CO2e/t-km),TTW (g CO2e/t-km),WTW (g CO2e/t-km)
North America,Van (<3.5t),Unknown,,,0.22,0.26,,153,756,909
North America,General,Unknown,,,0.027,0.031,,18,91,110
North America,Auto Carrier,Unknown,,,0.028,0.033,,19,96,115
North America,Dray,Unknown,,,0.024,0.028,,17,82,98
North America,Expedited,Unknown,,,0.177,0.209,,123,607,730
North America,Flatbed,Unknown,,,0.02,0.024,,14,70,84
North America,Heavy Bulk,Unknown,,,0.023,0.027,,16,77,93
North America,LTL/Dry Van,Unknown,,,0.056,0.067,,39,194,233
North America,Mixed,Unknown,,,0.027,0.031,,18,91,110
North America,Moving,Unknown,,,0.097,0.114,,67,332,399
North America,Package,Unknown,,,0.237,0.28,,164,815,979
North America,Refrigerated,Unknown,,,0.023,0.027,,16,80,96
North America,Specialized,Unknown,,,0.032,0.038,,22,111,133
North America,Tanker,Unknown,,,0.017,0.02,,12,58,70
North America,TL/Dry Van,Unknown,,,0.023,0.027,,16,79,95
Europe & South America,Van < 3.5t,Diesel,36,,0.201,0.242,,195,647,842
Europe & South America,Van < 3.5t,Petrol,24,,0.239,0.322,,244,763,1007
Europe & South America,Van < 3.5t,CNG,36,,0.235,,,243,648,892
Europe & South America,Van < 3.5t,LPG,36,,0.234,0.425,,246,713,959
Europe & South America,Rigid truck 3.5-7.5 t GVW,Diesel,60,17,0.08,0.096,,78,258,335
Europe & South America,Rigid truck 3.5-7.5 t GVW,CNG,60,17,0.084,,,86,231,317
Europe & South America,Rigid truck 7.5-12 t GVW,Diesel,60,17,0.053,0.064,,52,172,223
Europe & South America,Rigid truck 7.5-12 t GVW,CNG,60,17,0.056,,,58,154,211
Europe & South America,Rigid truck 12-20 t GVW,Diesel,60,17,0.046,0.055,,44,147,191
Europe & South America,Rigid truck 12-20 t GVW,CNG,60,17,0.048,,,51,131,181
Europe & South America,Rigid truck 20-26 t GVW,Diesel,60,17,0.033,0.04,,32,107,139
Europe & South America,Rigid truck 20-26 t GVW,CNG,60,17,0.036,,,37,99,136
Europe & South America,Rigid truck 20-26 t GVW,LNG,60,17,0.037,,,47,105,152
Europe & South America,Rigid truck 26-32 t GVW,Diesel,60,17,0.03,0.036,,29,95,125
Europe & South America,Rigid truck 26-32 t GVW,Diesel,72,30,0.029,0.035,,29,95,123
Europe & South America,Arctic truck up to 34 t GVW,Diesel,60,17,0.03,0.036,,29,95,124
Europe & South America,Arctic truck up to 34 t GVW,Diesel,72,30,0.029,0.035,,29,95,123
Europe & South America,Arctic truck 34-40 t GVW,Diesel,60,17,0.024,0.029,,23,78,101
Europe & South America,Arctic truck 34-40 t GVW,Diesel,72,30,0.024,0.029,,23,78,101
Europe & South America,Arctic truck 40 t GVW incl. lightweight trailer,Diesel,100,38,0.019,0.023,,19,62,80
Europe & South America,Arctic truck 40�44 t GVW,Diesel,30,9,0.034,0.041,,33,110,143
Europe & South America,Arctic truck 40�44 t GVW,Diesel,60,17,0.021,0.026,,21,69,89
Europe & South America,Arctic truck 40�44 t GVW,Diesel,100,38,0.018,0.022,,18,59,77
Europe & South America,Arctic truck 40�44 t GVW,Diesel,72,30,0.021,0.026,,21,69,90
Europe & South America,Arctic truck up to 60 t GVW,Diesel,60,17,0.017,0.02,,16,54,70
Europe & South America,Arctic truck up to 60 t GVW,Diesel,100,38,0.014,0.017,,14,46,60
Europe & South America,Arctic truck up to 60 t GVW,Diesel,72,30,0.017,0.02,,16,54,70
Europe & South America,Arctic truck up to 72 t GVW,Diesel,100,38,0.012,0.015,,11,36,47
Europe & South America,Arctic truck up to 72 t GVW,Diesel,72,30,0.014,0.017,,13,42,55
Europe & South America,Van < 3.5 t,Electricity,,,,,1.2,,,
Europe & South America,Rigid truck 3.5�7.5 t GVW,Electric,30,9,,,0.86,,,
Europe & South America,Rigid truck 3.5�7.5 t GVW,Electric,60,17,,,0.44,,,
Europe & South America,Rigid truck 7.5-12 t GVW,Electric,30,9,,,0.65,,,
